# Ic = 1.06 A, n = 16.25 , Tavg = 55.64 K, icvt-55K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-28_11:27:36.812000      61769.15        1.83521500e-02        6.70271027e-08  55.6253  55.0727
0202-10-28_11:27:37.016000      61769.35        4.82170900e-02        6.31844097e-08  55.6253  55.0727
0202-10-28_11:27:37.207000      61769.54        9.57549200e-02        6.63453347e-08  55.6253  55.0727
0202-10-28_11:27:37.414000      61769.75        1.44848100e-01        6.06432737e-08  55.6553  55.0899
0202-10-28_11:27:37.605000      61769.94        1.97034200e-01        6.47958617e-08  55.6553  55.0899
0202-10-28_11:27:37.800000      61770.13        2.46336700e-01        6.69651237e-08  55.6553  55.0899
0202-10-28_11:27:38.004000      61770.34        2.92371100e-01        6.49198197e-08  55.6553  55.0899
0202-10-28_11:27:38.195000      61770.53        3.45786400e-01        6.15109787e-08  55.6553  55.0899
0202-10-28_11:27:38.390000      61770.72        3.95056200e-01        5.28959087e-08  55.6182  55.0695
0202-10-28_11:27:38.594000      61770.93        4.42659300e-01        5.71104757e-08  55.6182  55.0695
0202-10-28_11:27:38.790000      61771.12        4.92197800e-01        5.97755697e-08  55.6182  55.0695
0202-10-28_11:27:38.980000      61771.31        5.43401400e-01        6.65312717e-08  55.6182  55.0695
0202-10-28_11:27:39.184000      61771.52        5.93253000e-01        6.65932507e-08  55.6182  55.0695
0202-10-28_11:27:39.380000      61771.71        6.40615700e-01        6.29984727e-08  55.6182  55.0695
0202-10-28_11:27:39.574000      61771.91        6.91964800e-01        6.04573307e-08  55.7080  55.0738
0202-10-28_11:27:39.777000      61772.11        7.41737800e-01        5.66765917e-08  55.7080  55.0738
0202-10-28_11:27:39.973000      61772.30        7.88731000e-01        5.37015847e-08  55.7080  55.0738
0202-10-28_11:27:40.164000      61772.50        8.40912600e-01        4.71937857e-08  55.7080  55.0738
0202-10-28_11:27:40.370000      61772.70        8.91089300e-01        4.94870057e-08  55.7080  55.0738
0202-10-28_11:27:40.562000      61772.90        9.35041500e-01        6.02713387e-08  55.6252  55.0704
0202-10-28_11:27:40.758000      61773.09        9.89109500e-01        8.09723007e-08  55.6252  55.0704
0202-10-28_11:27:40.960000      61773.29        1.03904100e+00        1.61173033e-07  55.6252  55.0704
0202-10-28_11:27:41.156000      61773.49        1.08667000e+00        2.86556454e-07  55.6252  55.0704
0202-10-28_11:27:41.350000      61773.68        1.13630800e+00        5.15507186e-07  55.6779  55.0689
0202-10-28_11:27:41.555000      61773.89        1.18773600e+00        2.10688685e-06  55.6779  55.0689
0202-10-28_11:27:41.746000      61774.08        1.23734400e+00        3.32062748e-06  55.6779  55.0689
0202-10-28_11:27:41.940000      61774.27        1.28259300e+00        4.55122649e-06  55.6779  55.0689
0202-10-28_11:27:42.145000      61774.48        1.33633900e+00        9.50789698e-06  55.6779  55.0689
0202-10-28_11:27:42.348000      61774.68        1.38591900e+00        1.48435088e-05  55.6779  55.0689
0202-10-28_11:27:42.543000      61774.88        1.43351500e+00        2.08592193e-05  55.6447  55.0646
