# Ic = 0.36 A, n = 22.04 , Tavg = 84.96 K, f20-pristine-85K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-26_18:39:53.610000      3189.77        4.84306200e-02       -1.92877485e-08  84.9754  84.1005
0202-10-26_18:39:53.800000      3189.96        1.25640400e-02       -2.03413885e-08  84.9754  84.1005
0202-10-26_18:39:54.004000      3190.17        2.29795500e-02       -1.91637985e-08  84.9754  84.1005
0202-10-26_18:39:54.200000      3190.36        3.28622700e-02       -1.68705885e-08  84.9754  84.1005
0202-10-26_18:39:54.390000      3190.55        4.19992000e-02       -1.43294585e-08  84.9820  84.1004
0202-10-26_18:39:54.594000      3190.76        5.27367500e-02       -1.62507985e-08  84.9820  84.1004
0202-10-26_18:39:54.785000      3190.95        6.26194600e-02       -1.71804785e-08  84.9820  84.1004
0202-10-26_18:39:54.977000      3191.14        7.14692300e-02       -1.63747585e-08  84.9820  84.1004
0202-10-26_18:39:55.184000      3191.35        8.22587300e-02       -7.69801850e-09  84.9820  84.1004
0202-10-26_18:39:55.375000      3191.54        9.24338100e-02       -8.25602850e-09  84.9552  84.1012
0202-10-26_18:39:55.570000      3191.73        1.01389000e-01       -1.11072485e-08  84.9552  84.1012
0202-10-26_18:39:55.773000      3191.94        1.12185900e-01       -1.83587485e-08  84.9552  84.1012
0202-10-26_18:39:55.965000      3192.13        1.22466100e-01       -1.99082185e-08  84.9552  84.1012
0202-10-26_18:39:56.156000      3192.32        1.31504400e-01       -1.38343085e-08  84.9552  84.1012
0202-10-26_18:39:56.363000      3192.53        1.42060900e-01       -1.43921185e-08  84.9813  84.1123
0202-10-26_18:39:56.560000      3192.72        1.52087600e-01       -1.07353785e-08  84.9813  84.1123
0202-10-26_18:39:56.750000      3192.91        1.61106500e-01       -1.58796085e-08  84.9813  84.1123
0202-10-26_18:39:56.953000      3193.12        1.71716400e-01       -1.32764985e-08  84.9813  84.1123
0202-10-26_18:39:57.150000      3193.31        1.81845500e-01       -1.17890085e-08  84.9813  84.1123
0202-10-26_18:39:57.344000      3193.51        1.90876300e-01       -5.90103850e-09  84.9809  84.1159
0202-10-26_18:39:57.540000      3193.70        2.01984700e-01       -4.66146850e-09  84.9809  84.1159
0202-10-26_18:39:57.730000      3193.89        2.11616600e-01       -3.60782850e-09  84.9809  84.1159
0202-10-26_18:39:57.926000      3194.09        2.20671200e-01       -1.01155885e-08  84.9809  84.1159
0202-10-26_18:39:58.117000      3194.28        2.31802000e-01       -8.44216850e-09  84.9809  84.1159
0202-10-26_18:39:58.312000      3194.47        2.41655100e-01       -9.43382850e-09  84.9739  84.1149
0202-10-26_18:39:58.516000      3194.68        2.51411600e-01        9.78591500e-10  84.9739  84.1149
0202-10-26_18:39:58.707000      3194.87        2.61095500e-01        6.06721500e-10  84.9739  84.1149
0202-10-26_18:39:58.902000      3195.06        2.71390700e-01        8.23010150e-09  84.9739  84.1149
0202-10-26_18:39:59.105000      3195.27        2.81376300e-01       -3.22958500e-10  84.9739  84.1149
0202-10-26_18:39:59.310000      3195.47        2.90548100e-01       -1.37018500e-10  84.9739  84.1149
0202-10-26_18:39:59.500000      3195.66        3.00928000e-01       -4.97135850e-09  84.9604  84.0938
0202-10-26_18:39:59.695000      3195.86        3.11074900e-01       -7.50485000e-11  84.9604  84.0938
0202-10-26_18:39:59.887000      3196.05        3.20346100e-01        4.20781500e-10  84.9604  84.0938
0202-10-26_18:40:00.082000      3196.24        3.30797200e-01        8.35405150e-09  84.9604  84.0938
0202-10-26_18:40:00.290000      3196.45        3.40956000e-01        3.63684115e-08  84.9604  84.0938
0202-10-26_18:40:00.484000      3196.65        3.50458700e-01        8.29763715e-08  84.9561  84.1105
0202-10-26_18:40:00.676000      3196.84        3.60870500e-01        1.65346022e-07  84.9561  84.1105
0202-10-26_18:40:00.870000      3197.03        3.70739900e-01        4.04397752e-07  84.9561  84.1105
0202-10-26_18:40:01.062000      3197.22        3.79886400e-01        7.16026619e-07  84.9561  84.1105
0202-10-26_18:40:01.260000      3197.42        3.90290100e-01        1.25511855e-06  84.9561  84.1105
0202-10-26_18:40:01.470000      3197.63        4.00514100e-01        4.16856616e-06  84.9863  84.1166
0202-10-26_18:40:01.660000      3197.82        4.10105900e-01        6.59517020e-06  84.9863  84.1166
0202-10-26_18:40:01.863000      3198.03        4.20094000e-01        9.16978020e-06  84.9863  84.1166
0202-10-26_18:40:02.055000      3198.22        4.30013800e-01        1.40128236e-05  84.9863  84.1166
0202-10-26_18:40:02.277000      3198.44        4.39371100e-01        1.89562730e-05  84.9863  84.1166
0202-10-26_18:40:02.490000      3198.65        4.49992900e-01        2.41575550e-05  84.9607  84.0990
