# Ic = 30.14 A, n = 45.35 , Tavg = 25.70 K, f20-pristine-26K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-26_13:38:08.280000      8187.04       -4.27008700e-01        6.40621912e-08  25.7333  25.0267
0202-10-26_13:38:08.684000      8187.45       -4.26847000e-01        7.43507512e-08  25.7748  24.9922
0202-10-26_13:38:09.080000      8187.84       -4.26897400e-01        6.85247013e-08  25.7748  24.9922
0202-10-26_13:38:09.492000      8188.25       -4.26578300e-01        7.02601212e-08  25.7495  25.0268
0202-10-26_13:38:09.895000      8188.66       -4.26913000e-01        5.43314512e-08  25.7495  25.0268
0202-10-26_13:38:10.290000      8189.05       -4.26999100e-01        6.00335412e-08  25.7495  25.0268
0202-10-26_13:38:10.695000      8189.46       -4.27361200e-01        6.41861512e-08  25.7964  25.0235
0202-10-26_13:38:11.098000      8189.86       -4.22801600e-01        5.40835312e-08  25.7964  25.0235
0202-10-26_13:38:11.510000      8190.27        8.83193900e-01        7.63960612e-08  25.7302  24.9265
0202-10-26_13:38:11.914000      8190.68        2.46520000e+00        7.94330513e-08  25.7302  24.9265
0202-10-26_13:38:12.320000      8191.08        3.85971300e+00        8.86679513e-08  25.7302  24.9265
0202-10-26_13:38:12.715000      8191.48        5.42937300e+00        9.54856713e-08  25.7700  25.0202
0202-10-26_13:38:13.110000      8191.87        7.00503100e+00        1.03047141e-07  25.7700  25.0202
0202-10-26_13:38:13.516000      8192.28        8.37567000e+00        8.94736413e-08  25.7327  24.9038
0202-10-26_13:38:13.920000      8192.68        9.95138600e+00        9.00313912e-08  25.7327  24.9038
0202-10-26_13:38:14.332000      8193.09        1.13455300e+01        9.43079612e-08  25.7327  24.9038
0202-10-26_13:38:14.730000      8193.49        1.29213500e+01        7.60240813e-08  25.7590  25.0216
0202-10-26_13:38:15.133000      8193.90        1.45016600e+01        7.12516812e-08  25.7590  25.0216
0202-10-26_13:38:15.540000      8194.30        1.58655900e+01        8.22220113e-08  25.7053  24.9439
0202-10-26_13:38:15.930000      8194.69        1.74469800e+01        8.86678512e-08  25.7053  24.9439
0202-10-26_13:38:16.330000      8195.09        1.88379900e+01        6.65412613e-08  25.7321  24.9855
0202-10-26_13:38:16.723000      8195.48        2.04201000e+01        8.55688913e-08  25.7321  24.9855
0202-10-26_13:38:17.117000      8195.88        2.19988300e+01        7.88131513e-08  25.7321  24.9855
0202-10-26_13:38:17.520000      8196.28        2.33683500e+01        7.63959612e-08  25.7009  24.9976
0202-10-26_13:38:17.920000      8196.69        2.49582200e+01        7.32350212e-08  25.7009  24.9976
0202-10-26_13:38:18.320000      8197.08        2.63369700e+01        6.67272012e-08  25.7495  24.9659
0202-10-26_13:38:18.710000      8197.47        2.79087300e+01        9.39980613e-08  25.7495  24.9659
0202-10-26_13:38:19.113000      8197.87        2.93063300e+01        1.84301821e-07  25.7495  24.9659
0202-10-26_13:38:19.516000      8198.28        3.08792700e+01        6.78585441e-07  25.7045  24.9915
0202-10-26_13:38:19.920000      8198.68        3.24643700e+01        6.55694079e-06  25.7045  24.9915
0202-10-26_13:38:20.320000      8199.08        3.38190800e+01        3.53693985e-05  25.7045  24.9915
