# Ic =  nan A, n =  nan , Tavg = 60.11 K, f20-pristine-60K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-26_17:33:03.110000      22281.87        2.63060800e+00        1.01366245e-08  60.0855  59.3307
0202-10-26_17:33:03.523000      22282.28        3.01807800e+00        3.25729345e-08  60.0921  59.3380
0202-10-26_17:33:03.926000      22282.69        3.61742900e+00        3.84609145e-08  60.0921  59.3380
0202-10-26_17:33:04.330000      22283.09        4.00146300e+00        2.88542045e-08  60.1007  59.3444
0202-10-26_17:33:04.730000      22283.49        4.59033300e+00        4.75098145e-08  60.1007  59.3444
0202-10-26_17:33:05.125000      22283.89        5.00415700e+00        5.02997145e-08  60.1007  59.3444
0202-10-26_17:33:05.523000      22284.29        5.57560400e+00        4.00121045e-08  60.1305  59.3307
0202-10-26_17:33:05.914000      22284.68        5.98540300e+00        4.18714645e-08  60.1305  59.3307
0202-10-26_17:33:06.320000      22285.08        6.57817100e+00        4.34209345e-08  60.1305  59.3307
0202-10-26_17:33:06.740000      22285.50        6.97257400e+00        3.84006545e-08  60.1316  59.3374
0202-10-26_17:33:07.133000      22285.90        7.56511900e+00        5.22838845e-08  60.1316  59.3374
0202-10-26_17:33:07.535000      22286.30        7.95187200e+00        4.38547845e-08  60.1160  59.3281
0202-10-26_17:33:07.934000      22286.70        8.54909300e+00        3.57355745e-08  60.1160  59.3281
0202-10-26_17:33:08.336000      22287.10        8.93880700e+00        5.61885345e-08  60.1160  59.3281
0202-10-26_17:33:08.740000      22287.50        9.53601700e+00        2.72618075e-07  60.1187  59.3224
0202-10-26_17:33:09.140000      22287.90        1.01251700e+01        1.43416330e-06  60.1187  59.3224
0202-10-26_17:33:09.540000      22288.30        1.05163800e+01        5.94009959e-06  60.1076  59.3096
0202-10-26_17:33:09.940000      22288.70        1.11110400e+01        2.31663079e-05  60.1076  59.3096
