# Ic = 37.24 A, n = 25.24 , Tavg = 0.00 K, 21K_step2_unknownFluence
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  24241.03        3.93698100e-02       -6.43348100e-09    0.00   20.88
    1  24241.28        5.62339200e-01        4.07329790e-08    0.00   20.88
    2  24241.58        1.08593800e+00        1.91640790e-08    0.00   20.95
    3  24241.86        1.56577200e+00       -1.11439210e-08    0.00   20.95
    4  24242.10        2.02865000e+00        4.40178890e-08    0.00   20.95
    5  24242.35        2.56242500e+00        4.41418490e-08    0.00   20.95
    6  24242.62        3.07955700e+00        1.25198900e-09    0.00   21.13
    7  24242.89        3.55556700e+00        6.23638390e-08    0.00   21.13
    8  24243.14        4.06071900e+00        3.85017090e-08    0.00   21.13
    9  24243.38        4.60103500e+00        1.80484490e-08    0.00   21.14
   10  24243.70        5.03040200e+00        9.27338290e-08    0.00   21.14
   11  24243.96        5.55653600e+00        1.29735639e-07    0.00   21.14
   12  24244.20        6.06307200e+00        7.80446790e-08    0.00   21.14
   13  24244.46        6.56287100e+00        1.12133439e-07    0.00   20.83
   14  24244.73        7.12625600e+00        8.68457690e-08    0.00   20.83
   15  24244.97        7.59565200e+00        7.05451490e-08    0.00   20.83
   16  24245.23        8.07599800e+00        9.20520590e-08    0.00   20.83
   17  24245.48        8.60999200e+00        4.81705190e-08    0.00   21.27
   18  24245.74        9.12080300e+00        5.12075190e-08    0.00   21.27
   19  24245.98        9.57503200e+00       -5.62758100e-09    0.00   21.27
   20  24246.22        1.00562600e+01        3.44115890e-08    0.00   21.27
   21  24246.52        1.06097000e+01        5.57948990e-08    0.00   20.84
   22  24246.78        1.11003000e+01        4.11057390e-08    0.00   20.84
   23  24247.02        1.15747800e+01        3.80067590e-08    0.00   20.84
   24  24247.28        1.20491000e+01        3.62713290e-08    0.00   20.84
   25  24247.56        1.25761300e+01        7.09798990e-08    0.00   21.11
   26  24247.80        1.30768200e+01        6.32944290e-08    0.00   21.11
   27  24248.05        1.35491600e+01        7.14092900e-09    0.00   21.11
   28  24248.35        1.41157500e+01        4.53823290e-08    0.00   21.11
   29  24248.64        1.45887000e+01        9.09993090e-08    0.00   21.09
   30  24248.90        1.50536100e+01        6.42861090e-08    0.00   21.09
   31  24249.15        1.55299100e+01        1.09407249e-07    0.00   21.09
   32  24249.47        1.60753400e+01        1.44673629e-07    0.00   20.91
   33  24249.77        1.65534200e+01        1.21865149e-07    0.00   20.91
   34  24250.01        1.70493600e+01        1.16906779e-07    0.00   20.91
   35  24250.26        1.75560200e+01        8.33758190e-08    0.00   20.91
   36  24250.51        1.80914500e+01        6.91205190e-08    0.00   21.31
   37  24250.77        1.85236700e+01        1.35128779e-07    0.00   21.31
   38  24251.03        1.90511200e+01        1.22794839e-07    0.00   21.31
   39  24251.28        1.95754700e+01        1.19695859e-07    0.00   21.31
   40  24251.57        2.00868700e+01        1.44921549e-07    0.00   20.58
   41  24251.82        2.05567400e+01        9.75691490e-08    0.00   20.58
   42  24252.07        2.10603800e+01        9.81898890e-08    0.00   20.58
   43  24252.41        2.16159000e+01        1.25895519e-07    0.00   20.85
   44  24252.71        2.20782200e+01        1.22610779e-07    0.00   20.85
