# Ic = 38.15 A, n = 29.35 , Tavg = 0.00 K, Anneal136_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  104338.52        4.65750300e-02        5.01891900e-08    0.00   21.25
    1  104338.77        4.01927400e-01        1.10245490e-07    0.00   21.09
    2  104339.01        6.64195300e-01        8.74364900e-08    0.00   21.09
    3  104339.28        9.49079700e-01        1.08075490e-07    0.00   21.09
    4  104339.53        1.25012600e+00        8.86760900e-08    0.00   21.09
    5  104339.84        1.56947300e+00        8.23541900e-08    0.00   21.17
    6  104340.11        1.88785200e+00        1.08881290e-07    0.00   21.17
    7  104340.36        2.14509300e+00        7.81395900e-08    0.00   21.17
    8  104340.60        2.43557900e+00        7.28713900e-08    0.00   21.17
    9  104340.91        2.77923400e+00        8.86760900e-08    0.00   21.26
   10  104341.22        3.05262900e+00        3.27708900e-08    0.00   21.26
   11  104341.46        3.36116600e+00        6.05789000e-09    0.00   21.26
   12  104341.76        3.67624200e+00        1.25656900e-08    0.00   21.26
   13  104342.06        3.98850800e+00        2.42797900e-08    0.00   20.81
   14  104342.30        4.26250100e+00        5.11166900e-08    0.00   20.81
   15  104342.56        4.57402400e+00        7.80775900e-08    0.00   20.81
   16  104342.86        4.88725600e+00        5.74385900e-08    0.00   21.12
   17  104343.14        5.17062600e+00        2.26062900e-08    0.00   21.12
   18  104343.39        5.47846100e+00        1.11401900e-08    0.00   21.12
   19  104343.63        5.76049700e+00       -1.64405100e-08    0.00   21.12
   20  104343.98        6.10403300e+00        1.01484900e-08    0.00   21.11
   21  104344.22        6.38620800e+00        6.43802900e-08    0.00   21.11
   22  104344.47        6.69495800e+00        4.03330900e-08    0.00   21.11
   23  104344.73        7.01321400e+00        9.15829000e-09    0.00   20.84
   24  104345.01        7.32080000e+00        2.06864900e-08    0.00   20.84
   25  104345.26        7.60437000e+00        5.43969000e-09    0.00   20.84
   26  104345.50        7.88254300e+00        9.15839000e-09    0.00   20.84
   27  104345.81        8.22022800e+00        8.22869000e-09    0.00   21.27
   28  104346.07        8.54017300e+00       -9.18741000e-09    0.00   21.27
   29  104346.33        8.77760500e+00       -5.84051000e-09    0.00   21.27
   30  104346.57        9.07563100e+00       -2.74161000e-09    0.00   21.27
   31  104346.95        9.41837900e+00       -5.72310000e-10    0.00   20.82
   32  104347.20        9.67301700e+00       -2.74712100e-08    0.00   20.82
   33  104347.45        9.97140100e+00       -6.56504100e-08    0.00   20.82
   34  104347.70        1.02918200e+01       -3.36692100e-08    0.00   20.82
   35  104347.97        1.06166700e+01        1.85172900e-08    0.00   21.11
   36  104348.22        1.08913000e+01       -1.01171100e-08    0.00   21.11
   37  104348.47        1.11661600e+01       -1.26582100e-08    0.00   21.11
   38  104348.76        1.15039700e+01       -3.05702100e-08    0.00   21.11
   39  104349.03        1.18026900e+01       -5.54858100e-08    0.00   21.12
   40  104349.29        1.20537000e+01       -4.37717100e-08    0.00   21.12
   41  104349.53        1.23515600e+01       -2.92067100e-08    0.00   21.12
   42  104349.80        1.27004900e+01       -1.07548310e-07    0.00   21.16
   43  104350.04        1.29985500e+01       -1.28869110e-07    0.00   21.16
   44  104350.29        1.32464800e+01       -1.07236910e-07    0.00   21.16
   45  104350.53        1.35363300e+01       -1.31282810e-07    0.00   21.16
   46  104350.91        1.39014000e+01       -8.98792100e-08    0.00   21.26
   47  104351.17        1.41416300e+01       -1.03824510e-07    0.00   21.26
   48  104351.41        1.44436000e+01       -1.45102610e-07    0.00   21.26
   49  104351.66        1.47493300e+01       -1.34380310e-07    0.00   21.26
   50  104351.90        1.50876300e+01       -1.40516210e-07    0.00   20.85
   51  104352.16        1.53429600e+01       -1.36921410e-07    0.00   20.85
   52  104352.41        1.56449700e+01       -1.22294310e-07    0.00   20.85
   53  104352.65        1.59487900e+01       -1.25517210e-07    0.00   20.85
   54  104352.97        1.62217000e+01       -6.94261100e-08    0.00   21.10
   55  104353.23        1.65479800e+01       -7.45704100e-08    0.00   21.10
   56  104353.47        1.68537800e+01       -9.71308100e-08    0.00   21.10
   57  104353.76        1.71525000e+01       -1.05560010e-07    0.00   21.10
