# Ic = 37.30 A, n = 24.85 , Tavg = 0.00 K, 21KAfter142KAnneal
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  28383.09        7.28282400e-02        1.01088400e-08    0.00   21.19
    1  28383.33        3.63597800e-01        2.30624400e-08    0.00   21.19
    2  28383.67        6.91457600e-01        9.67494000e-09    0.00   21.24
    3  28383.93        9.70539300e-01       -3.48880600e-08    0.00   21.24
    4  28384.18        1.27431600e+00       -3.40823600e-08    0.00   21.24
    5  28384.48        1.58587000e+00        1.21541400e-08    0.00   21.35
    6  28384.75        1.89539600e+00        4.76681400e-08    0.00   21.35
    7  28384.99        2.14904300e+00        5.83224000e-09    0.00   21.35
    8  28385.24        2.45849200e+00        2.55416400e-08    0.00   21.35
    9  28385.49        2.80459800e+00       -1.90213600e-08    0.00   20.88
   10  28385.77        3.10601500e+00        1.84759400e-08    0.00   20.88
   11  28386.01        3.38663800e+00        4.54988400e-08    0.00   20.88
   12  28386.25        3.64494200e+00        5.05209400e-08    0.00   20.88
   13  28386.63        4.01188800e+00        1.72426400e-08    0.00   20.88
   14  28386.88        4.30538800e+00        1.44562400e-08    0.00   21.18
   15  28387.12        4.59716100e+00       -1.84426000e-09    0.00   21.18
   16  28387.39        4.87443300e+00        1.28447400e-08    0.00   21.18
   17  28387.66        5.21848200e+00        2.54885400e-08    0.00   21.20
   18  28387.91        5.50720900e+00        2.74214000e-09    0.00   21.20
   19  28388.16        5.78626600e+00        3.70786400e-08    0.00   21.20
   20  28388.44        6.13927400e+00       -1.03354600e-08    0.00   21.20
   21  28388.72        6.44179900e+00        1.37744400e-08    0.00   20.89
   22  28388.97        6.72246500e+00        4.66354000e-09    0.00   20.89
   23  28389.21        6.99741400e+00       -2.21114600e-08    0.00   20.89
   24  28389.52        7.32233900e+00       -1.59755600e-08    0.00   20.89
   25  28389.83        7.65890500e+00        1.97864400e-08    0.00   21.35
   26  28390.09        7.89965600e+00       -8.90996000e-09    0.00   21.35
   27  28390.33        8.18797300e+00        1.49520400e-08    0.00   21.35
   28  28390.65        8.55429800e+00        3.98057400e-08    0.00   20.88
   29  28390.90        8.83581600e+00        1.94765400e-08    0.00   20.88
   30  28391.15        9.09892000e+00        9.93174000e-09    0.00   20.88
   31  28391.47        9.44093300e+00        3.57770400e-08    0.00   20.88
   32  28391.79        9.74795800e+00        3.59630400e-08    0.00   21.34
   33  28392.03        9.99174800e+00        1.56958400e-08    0.00   21.34
   34  28392.28        1.02816600e+01       -1.14490600e-08    0.00   21.34
   35  28392.59        1.06413200e+01        1.72499400e-08    0.00   21.19
