# Ic = 0.63 A, n = 13.28 , Tavg = 60.58 K, icvt-60K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-28_13:06:12.040000      67684.37        1.71023300e-02        4.50244268e-08  60.5634  60.0087
0202-10-28_13:06:12.312000      67684.65        1.28713200e-02        4.27312148e-08  60.5634  60.0087
0202-10-28_13:06:12.510000      67684.84        2.23222100e-02        3.80828118e-08  60.6673  60.0148
0202-10-28_13:06:12.710000      67685.05        3.19823700e-02        3.58515788e-08  60.6673  60.0148
0202-10-28_13:06:12.914000      67685.25        4.14644300e-02        2.63068588e-08  60.6673  60.0148
0202-10-28_13:06:13.105000      67685.44        5.19646000e-02        2.68646678e-08  60.6673  60.0148
0202-10-28_13:06:13.316000      67685.65        6.15653900e-02        2.32079238e-08  60.6673  60.0148
0202-10-28_13:06:13.510000      67685.85        7.13294300e-02        3.05833898e-08  60.6056  60.0234
0202-10-28_13:06:13.703000      67686.04        8.17140700e-02        3.10172408e-08  60.6056  60.0234
0202-10-28_13:06:13.910000      67686.24        9.14335900e-02        3.24427508e-08  60.6056  60.0234
0202-10-28_13:06:14.100000      67686.44        1.00811800e-01        2.69266458e-08  60.6056  60.0234
0202-10-28_13:06:14.336000      67686.67        1.11573100e-01        2.46333828e-08  60.6056  60.0234
0202-10-28_13:06:14.530000      67686.87        1.20537200e-01        1.89932418e-08  60.6871  60.0198
0202-10-28_13:06:14.740000      67687.07        1.31212500e-01        1.95509458e-08  60.6871  60.0198
0202-10-28_13:06:14.930000      67687.26        1.41089400e-01        1.68858338e-08  60.6871  60.0198
0202-10-28_13:06:15.125000      67687.46        1.50127700e-01        2.07285158e-08  60.6871  60.0198
0202-10-28_13:06:15.332000      67687.66        1.61028400e-01        2.09764308e-08  60.6871  60.0198
0202-10-28_13:06:15.523000      67687.86        1.70814700e-01        2.25878778e-08  60.5906  60.0230
0202-10-28_13:06:15.715000      67688.05        1.80089000e-01        1.98608138e-08  60.5906  60.0230
0202-10-28_13:06:15.920000      67688.25        1.90837000e-01        2.11623668e-08  60.5906  60.0230
0202-10-28_13:06:16.113000      67688.45        2.00921700e-01        2.02946648e-08  60.5906  60.0230
0202-10-28_13:06:16.330000      67688.66        2.10329500e-01        2.56248358e-08  60.5906  60.0230
0202-10-28_13:06:16.523000      67688.86        2.20507600e-01        2.40753678e-08  60.6439  60.0260
0202-10-28_13:06:16.715000      67689.05        2.30568500e-01        2.73602408e-08  60.6439  60.0260
0202-10-28_13:06:16.910000      67689.24        2.39852600e-01        2.43852608e-08  60.6439  60.0260
0202-10-28_13:06:17.100000      67689.44        2.49612200e-01        2.47571338e-08  60.6439  60.0260
