# Ic =  nan A, n =  nan , Tavg = 75.86 K, icvt-75K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-28_18:03:43.832000      85536.17        1.82069700e-02        4.84721170e-06  75.8608  75.1455
0202-10-28_18:03:44.035000      85536.37        4.49367100e-03        1.77391697e-06  75.8608  75.1455
0202-10-28_18:03:44.250000      85536.58        4.73261500e-03        1.69396387e-06  75.8608  75.1455
0202-10-28_18:03:44.473000      85536.81        6.19892900e-03        1.80856303e-06  75.8110  75.1099
0202-10-28_18:03:44.664000      85537.00        7.12056900e-03        3.22955701e-06  75.8110  75.1099
0202-10-28_18:03:44.867000      85537.20        8.05408300e-03        3.43824053e-06  75.8110  75.1099
0202-10-28_18:03:45.062000      85537.39        8.97193800e-03        5.09574671e-06  75.8110  75.1099
0202-10-28_18:03:45.270000      85537.60        1.03373300e-02        5.20861059e-06  75.8110  75.1099
0202-10-28_18:03:45.484000      85537.82        1.14341000e-02        6.85781157e-06  75.9028  75.1446
0202-10-28_18:03:45.684000      85538.02        1.23379300e-02        8.00566387e-06  75.9028  75.1446
0202-10-28_18:03:45.875000      85538.21        1.29850100e-02        8.12119285e-06  75.9028  75.1446
0202-10-28_18:03:46.080000      85538.41        1.39482000e-02        9.66905804e-06  75.9028  75.1446
0202-10-28_18:03:46.312000      85538.64        1.52260300e-02        1.09907616e-05  75.9028  75.1446
0202-10-28_18:03:46.504000      85538.84        1.64370800e-02        1.11357926e-05  75.7792  75.0909
0202-10-28_18:03:46.695000      85539.03        1.71462600e-02        1.22091461e-05  75.7792  75.0909
0202-10-28_18:03:46.890000      85539.22        1.82163100e-02        1.36574109e-05  75.7792  75.0909
0202-10-28_18:03:47.082000      85539.41        1.88129300e-02        1.49361629e-05  75.7792  75.0909
0202-10-28_18:03:47.297000      85539.63        2.01441900e-02        1.60771975e-05  75.7792  75.0909
0202-10-28_18:03:47.510000      85539.84        2.13997600e-02        1.72417841e-05  75.8650  75.1218
0202-10-28_18:03:47.703000      85540.04        2.19711400e-02        1.73791916e-05  75.8650  75.1218
0202-10-28_18:03:47.895000      85540.23        2.29803500e-02        1.85846844e-05  75.8650  75.1218
0202-10-28_18:03:48.090000      85540.42        2.41142200e-02        2.00089013e-05  75.8650  75.1218
