# Ic = 38.14 A, n = 29.28 , Tavg = 0.00 K, Anneal139_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  112183.50        5.55998200e-02       -1.22723000e-09    0.00   21.02
    1  112183.75        3.52969800e-01       -5.99963000e-09    0.00   21.02
    2  112183.99        6.75040400e-01        1.65607700e-08    0.00   21.24
    3  112184.24        9.56134200e-01        2.18910700e-08    0.00   21.24
    4  112184.48        1.26132400e+00        2.31925700e-08    0.00   21.24
    5  112184.76        1.57882500e+00        3.93691700e-08    0.00   21.24
    6  112185.07        1.88277000e+00       -3.09771300e-08    0.00   20.96
    7  112185.32        2.15743700e+00       -4.11417300e-08    0.00   20.96
    8  112185.56        2.46682800e+00       -2.96263000e-09    0.00   20.96
    9  112185.83        2.79191800e+00       -2.96263000e-09    0.00   20.95
   10  112186.12        3.05052000e+00        9.12337000e-09    0.00   20.95
   11  112186.37        3.36917600e+00       -2.97530000e-10    0.00   20.95
   12  112186.62        3.65405300e+00       -6.37143000e-09    0.00   20.95
   13  112187.00        4.00124300e+00        2.85847700e-08    0.00   21.24
   14  112187.26        4.27657200e+00        1.72425700e-08    0.00   21.24
   15  112187.50        4.58233300e+00       -2.14943300e-08    0.00   21.24
   16  112187.79        4.86454100e+00       -3.04193300e-08    0.00   21.24
   17  112188.04        5.20543100e+00       -4.26297300e-08    0.00   20.81
   18  112188.28        5.48887900e+00       -4.57924300e-08    0.00   20.81
   19  112188.53        5.77100400e+00       -4.41208300e-08    0.00   20.81
   20  112188.87        6.12889000e+00       -5.18686300e-08    0.00   21.25
   21  112189.19        6.39887300e+00       -8.21764300e-08    0.00   21.25
   22  112189.44        6.70505200e+00       -8.40358300e-08    0.00   21.25
   23  112189.68        6.98348200e+00       -6.02978300e-08    0.00   21.25
   24  112190.00        7.33080600e+00       -6.99045300e-08    0.00   20.96
   25  112190.25        7.61333700e+00       -6.12894300e-08    0.00   20.96
   26  112190.50        7.89048700e+00       -5.74467300e-08    0.00   20.96
   27  112190.74        8.23777600e+00       -5.32321300e-08    0.00   20.96
   28  112190.99        8.53176400e+00       -1.06525300e-08    0.00   20.95
   29  112191.24        8.81372000e+00       -9.21550300e-08    0.00   20.95
   30  112191.48        9.08583800e+00       -9.38904300e-08    0.00   20.95
   31  112191.82        9.40367000e+00       -8.18045300e-08    0.00   21.24
   32  112192.13        9.73229300e+00       -1.45581030e-07    0.00   21.24
   33  112192.37        9.97811900e+00       -1.37089930e-07    0.00   21.24
   34  112192.61        1.02670800e+01       -1.01142030e-07    0.00   21.24
   35  112192.88        1.06270200e+01       -1.40436730e-07    0.00   21.03
   36  112193.14        1.09021400e+01       -1.09695130e-07    0.00   21.03
   37  112193.38        1.11802900e+01       -1.02939430e-07    0.00   21.03
   38  112193.62        1.14791100e+01       -1.24632130e-07    0.00   21.03
   39  112193.91        1.18182900e+01       -1.10872730e-07    0.00   20.89
   40  112194.21        1.20910100e+01       -1.13101730e-07    0.00   20.89
   41  112194.46        1.23631300e+01       -8.66347300e-08    0.00   20.89
   42  112194.74        1.27232100e+01       -1.09256630e-07    0.00   20.89
   43  112195.07        1.30149500e+01       -1.33490530e-07    0.00   20.97
   44  112195.33        1.32585400e+01       -1.42167630e-07    0.00   20.97
   45  112195.58        1.35653700e+01       -1.28098330e-07    0.00   20.97
   46  112195.85        1.39063900e+01       -1.53385830e-07    0.00   20.93
   47  112196.11        1.41638300e+01       -1.62248830e-07    0.00   20.93
   48  112196.35        1.44537200e+01       -1.49419130e-07    0.00   20.93
   49  112196.60        1.47386600e+01       -1.74830630e-07    0.00   20.93
   50  112196.90        1.51095300e+01       -1.30267630e-07    0.00   21.24
   51  112197.21        1.53891400e+01       -1.11178030e-07    0.00   21.24
   52  112197.46        1.56568300e+01       -1.70925930e-07    0.00   21.24
   53  112197.71        1.60121600e+01       -1.44956630e-07    0.00   21.24
   54  112197.99        1.62780500e+01       -1.43035330e-07    0.00   20.80
   55  112198.26        1.65637000e+01       -2.02969130e-07    0.00   20.80
   56  112198.50        1.68650600e+01       -2.12885730e-07    0.00   20.80
   57  112198.79        1.72329500e+01       -2.42821730e-07    0.00   21.23
   58  112199.12        1.74728200e+01       -1.96647230e-07    0.00   21.23
   59  112199.38        1.77695700e+01       -1.32065030e-07    0.00   21.23
   60  112199.62        1.80800000e+01       -1.67764930e-07    0.00   21.23
   61  112199.89        1.83512900e+01       -1.41487530e-07    0.00   21.26
   62  112200.16        1.86973400e+01       -1.51226530e-07    0.00   21.26
   63  112200.40        1.89753500e+01       -1.95114330e-07    0.00   21.26
   64  112200.65        1.92382200e+01       -1.63567030e-07    0.00   21.26
   65  112200.99        1.95985200e+01       -1.71810230e-07    0.00   20.93
   66  112201.25        1.98805600e+01       -2.12530530e-07    0.00   20.93
   67  112201.50        2.01808100e+01       -1.94494530e-07    0.00   20.93
   68  112201.79        2.05072600e+01       -2.16745030e-07    0.00   20.93
   69  112202.10        2.07919600e+01       -2.17488830e-07    0.00   21.24
