# Ic = 37.45 A, n = 25.53 , Tavg = 0.00 K, 21KAfter142KAnneal
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  28515.00        8.49570600e-02        3.22911300e-08    0.00   21.35
    1  28515.24        3.91464400e-01        3.63198300e-08    0.00   21.35
    2  28515.60        7.04568900e-01        4.82818300e-08    0.00   20.87
    3  28515.87        9.90166700e-01        4.18350300e-08    0.00   20.87
    4  28516.11        1.28779300e+00        2.59050300e-08    0.00   20.87
    5  28516.36        1.54380100e+00        6.56663000e-09    0.00   20.87
    6  28516.66        1.90875600e+00        1.32603300e-08    0.00   21.25
    7  28516.93        2.18845100e+00        4.82786300e-08    0.00   21.25
    8  28517.17        2.47447100e+00        3.11723300e-08    0.00   21.25
    9  28517.43        2.82029400e+00        4.91463300e-08    0.00   21.25
   10  28517.68        3.12152400e+00        7.68510300e-08    0.00   21.14
   11  28517.93        3.40307600e+00        3.64405300e-08    0.00   21.14
   12  28518.17        3.68640600e+00        2.64619300e-08    0.00   21.14
   13  28518.57        4.05571000e+00       -8.74227000e-09    0.00   20.93
   14  28518.85        4.33242600e+00       -6.69697000e-09    0.00   20.93
   15  28519.09        4.60758200e+00        4.41880300e-08    0.00   20.93
   16  28519.34        4.88797000e+00        3.43333300e-08    0.00   20.93
   17  28519.70        5.23321200e+00        2.89411300e-08    0.00   20.93
   18  28519.96        5.52082300e+00        2.91890300e-08    0.00   21.36
   19  28520.21        5.79805100e+00        5.45385300e-08    0.00   21.36
   20  28520.52        6.15158100e+00        2.90650300e-08    0.00   20.86
   21  28520.82        6.44341900e+00        4.32583300e-08    0.00   20.86
   22  28521.08        6.73016800e+00        7.12729300e-08    0.00   20.86
   23  28521.32        6.98988500e+00        3.66885300e-08    0.00   20.86
   24  28521.63        7.36456900e+00        2.57801300e-08    0.00   21.26
   25  28521.92        7.64226100e+00        3.42724300e-08    0.00   21.26
   26  28522.17        7.91905600e+00        1.66714300e-08    0.00   21.26
   27  28522.51        8.26447700e+00        4.40662300e-08    0.00   21.26
   28  28522.82        8.53601800e+00        4.59876300e-08    0.00   21.13
   29  28523.07        8.83512500e+00        3.65668300e-08    0.00   21.13
   30  28523.32        9.11477700e+00        4.52353000e-09    0.00   21.13
   31  28523.64        9.45749500e+00        4.81569300e-08    0.00   20.93
   32  28523.92        9.73345700e+00        5.37970300e-08    0.00   20.93
   33  28524.16        1.00083900e+01        2.98110300e-08    0.00   20.93
   34  28524.42        1.03761400e+01        3.55751300e-08    0.00   20.93
   35  28524.69        1.06556300e+01        2.62162300e-08    0.00   21.34
   36  28524.94        1.09286800e+01        4.28267300e-08    0.00   21.34
   37  28525.20        1.12027000e+01        4.41282300e-08    0.00   21.34
   38  28525.51        1.15440800e+01        1.00396300e-08    0.00   21.34
   39  28525.91        1.18208700e+01        1.47501300e-08    0.00   20.98
   40  28526.16        1.20710000e+01        5.00782300e-08    0.00   20.98
   41  28526.43        1.24448800e+01        4.89626300e-08    0.00   21.25
   42  28526.76        1.27335800e+01        1.38204300e-08    0.00   21.25
   43  28527.00        1.29854900e+01        2.92532300e-08    0.00   21.25
   44  28527.25        1.32798800e+01        4.35704300e-08    0.00   21.25
   45  28527.75        1.36239900e+01        2.90053300e-08    0.00   21.25
   46  28528.00        1.39001900e+01       -1.54335700e-08    0.00   21.13
   47  28528.24        1.41728300e+01        6.25913000e-09    0.00   21.13
   48  28528.74        1.45164000e+01        3.76826300e-08    0.00   20.93
   49  28529.00        1.47904300e+01        1.76013300e-08    0.00   20.93
   50  28529.24        1.50967200e+01       -2.04607000e-09    0.00   20.93
   51  28529.56        1.54166100e+01        2.08242300e-08    0.00   20.93
   52  28529.90        1.56949200e+01        2.22498300e-08    0.00   21.05
   53  28530.15        1.59890500e+01        2.78279300e-08    0.00   21.05
   54  28530.43        1.63151200e+01        2.14440300e-08    0.00   21.05
   55  28530.74        1.66147300e+01       -6.38457000e-09    0.00   20.85
   56  28531.00        1.68768400e+01        4.33783000e-09    0.00   20.85
   57  28531.25        1.72015200e+01        1.04117300e-08    0.00   20.85
   58  28531.50        1.75168700e+01        2.92534300e-08    0.00   21.25
   59  28531.77        1.78071900e+01        5.15659300e-08    0.00   21.25
   60  28532.01        1.81045600e+01        5.90654300e-08    0.00   21.25
   61  28532.26        1.83950300e+01        4.78472300e-08    0.00   21.25
   62  28532.66        1.86840000e+01        3.08029300e-08    0.00   21.12
   63  28532.90        1.90133700e+01       -1.49997700e-08    0.00   21.12
   64  28533.16        1.92805700e+01        1.32008300e-08    0.00   21.12
   65  28533.50        1.95797700e+01       -9.11127000e-09    0.00   21.12
   66  28533.78        1.99341200e+01        2.67155300e-08    0.00   21.30
   67  28534.05        2.02002000e+01        3.28528300e-08    0.00   21.30
   68  28534.29        2.04588600e+01        3.26049300e-08    0.00   21.30
   69  28534.62        2.08318300e+01        5.33403000e-09    0.00   21.30
   70  28534.87        2.11076700e+01       -8.48737000e-09    0.00   21.33
   71  28535.11        2.13808400e+01       -3.55102700e-08    0.00   21.33
   72  28535.36        2.16883300e+01        2.00851300e-08    0.00   21.33
   73  28535.63        2.20329000e+01        3.82450300e-08    0.00   20.85
   74  28535.90        2.23378900e+01       -3.28107000e-09    0.00   20.85
   75  28536.14        2.25865600e+01        1.49133000e-09    0.00   20.85
   76  28536.41        2.29469500e+01       -1.20170000e-10    0.00   20.85
   77  28536.69        2.32364300e+01        1.53747300e-08    0.00   21.25
   78  28536.96        2.35026700e+01        3.57658300e-08    0.00   21.25
   79  28537.20        2.37900100e+01        4.87195300e-08    0.00   21.25
   80  28537.51        2.41422200e+01        2.18825300e-08    0.00   21.25
   81  28537.81        2.44530400e+01        2.64689300e-08    0.00   21.12
   82  28538.06        2.46886800e+01        5.61570300e-08    0.00   21.12
   83  28538.30        2.49741200e+01        3.77492300e-08    0.00   21.12
   84  28538.61        2.53723100e+01        2.78325300e-08    0.00   20.92
   85  28538.88        2.55961800e+01        2.31221300e-08    0.00   20.92
   86  28539.13        2.58639100e+01        7.56533000e-09    0.00   20.92
   87  28539.42        2.61733200e+01        3.83064300e-08    0.00   20.92
   88  28539.68        2.65297200e+01        8.69430000e-10    0.00   21.05
   89  28539.94        2.67837400e+01       -3.16017000e-09    0.00   21.05
   90  28540.19        2.70800000e+01        2.49164300e-08    0.00   21.05
   91  28540.51        2.74349400e+01        3.02466300e-08    0.00   20.84
   92  28540.77        2.77123500e+01        5.19393300e-08    0.00   20.84
   93  28541.02        2.79856700e+01        3.60727300e-08    0.00   20.84
   94  28541.27        2.82919900e+01        3.33456300e-08    0.00   20.84
   95  28541.60        2.86326600e+01        1.26445300e-08    0.00   20.84
   96  28541.84        2.88923100e+01       -1.74773700e-08    0.00   21.25
   97  28542.10        2.91854100e+01       -2.41711700e-08    0.00   21.25
   98  28542.34        2.94957300e+01        9.17373000e-09    0.00   21.25
   99  28542.73        2.98161400e+01        1.58674300e-08    0.00   21.11
  100  28542.98        3.00919000e+01        1.92143300e-08    0.00   21.11
  101  28543.22        3.04023500e+01        2.57221300e-08    0.00   21.11
  102  28543.53        3.07075200e+01        9.48363000e-09    0.00   21.11
  103  28543.82        3.10273100e+01        6.75653000e-09    0.00   20.92
  104  28544.07        3.12967100e+01        2.18174300e-08    0.00   20.92
  105  28544.33        3.15949300e+01        4.41300300e-08    0.00   20.92
  106  28544.63        3.19446300e+01        5.08857300e-08    0.00   21.33
  107  28544.89        3.22465200e+01        5.40466300e-08    0.00   21.33
  108  28545.14        3.25118200e+01        3.13003300e-08    0.00   21.33
  109  28545.38        3.28186900e+01        7.44013000e-09    0.00   21.33
  110  28545.65        3.31377500e+01        3.91133300e-08    0.00   20.84
  111  28545.90        3.34266900e+01        1.69256300e-08    0.00   20.84
  112  28546.15        3.37199900e+01        5.32454300e-08    0.00   20.84
  113  28546.46        3.40434500e+01        6.26043300e-08    0.00   21.24
  114  28546.77        3.43240700e+01        1.07849230e-07    0.00   21.24
  115  28547.02        3.46146500e+01        9.94200300e-08    0.00   21.24
  116  28547.26        3.49172900e+01        8.72101300e-08    0.00   21.24
  117  28547.60        3.52475600e+01        8.20658300e-08    0.00   21.24
  118  28547.85        3.55259600e+01        8.73960300e-08    0.00   21.12
  119  28548.10        3.58278200e+01        1.33074730e-07    0.00   21.12
  120  28548.34        3.61142000e+01        1.29727930e-07    0.00   21.12
  121  28548.67        3.64553300e+01        1.65365930e-07    0.00   20.91
  122  28548.93        3.67353900e+01        2.14639430e-07    0.00   20.91
  123  28549.17        3.70488900e+01        2.04784730e-07    0.00   20.91
  124  28549.45        3.73228000e+01        2.65896330e-07    0.00   20.91
  125  28549.70        3.76605400e+01        3.40023530e-07    0.00   21.34
  126  28549.94        3.79437600e+01        3.78636630e-07    0.00   21.34
